Date,AQI
21-03-2023,240
22-03-2023,225
23-03-2023,245
24-03-2023,267
25-03-2023,223
26-03-2023,223
27-03-2023,269
28-03-2023,248
29-03-2023,218
30-03-2023,243
31-03-2023,218
01-04-2023,218
02-04-2023,236
03-04-2023,182
04-04-2023,186
05-04-2023,215
06-04-2023,204
07-04-2023,237
08-04-2023,206
09-04-2023,193
10-04-2023,265
11-04-2023,223
12-04-2023,230
13-04-2023,192
14-04-2023,214
15-04-2023,230
16-04-2023,198
17-04-2023,236
18-04-2023,211
19-04-2023,219
20-04-2023,210
21-04-2023,271
22-04-2023,224
23-04-2023,198
24-04-2023,244
25-04-2023,192
26-04-2023,228
27-04-2023,173
28-04-2023,188
29-04-2023,225
30-04-2023,238
01-05-2023,224
02-05-2023,216
03-05-2023,210
04-05-2023,180
05-05-2023,198
06-05-2023,204
07-05-2023,241
08-05-2023,223
09-05-2023,169
10-05-2023,220
11-05-2023,202
12-05-2023,194
13-05-2023,225
14-05-2023,235
15-05-2023,231
16-05-2023,186
17-05-2023,198
18-05-2023,213
19-05-2023,228
20-05-2023,191
21-05-2023,197
22-05-2023,173
23-05-2023,170
24-05-2023,219
25-05-2023,232
26-05-2023,195
27-05-2023,220
28-05-2023,203
29-05-2023,177
30-05-2023,201
31-05-2023,229
01-06-2023,189
02-06-2023,228
03-06-2023,122
04-06-2023,207
05-06-2023,187
06-06-2023,176
07-06-2023,185
08-06-2023,131
09-06-2023,174
10-06-2023,187
11-06-2023,214
12-06-2023,163
13-06-2023,154
14-06-2023,161
15-06-2023,195
16-06-2023,179
17-06-2023,156
18-06-2023,181
19-06-2023,169
20-06-2023,189
21-06-2023,146
22-06-2023,154
23-06-2023,151
24-06-2023,123
25-06-2023,166
26-06-2023,164
27-06-2023,156
28-06-2023,148
29-06-2023,118
30-06-2023,141
01-07-2023,142
02-07-2023,129
03-07-2023,143
04-07-2023,156
05-07-2023,192
06-07-2023,148
07-07-2023,148
08-07-2023,139
09-07-2023,91
10-07-2023,137
11-07-2023,138
12-07-2023,197
13-07-2023,129
14-07-2023,140
15-07-2023,130
16-07-2023,101
17-07-2023,157
18-07-2023,146
19-07-2023,146
20-07-2023,102
21-07-2023,158
22-07-2023,87
23-07-2023,135
24-07-2023,174
25-07-2023,93
26-07-2023,103
27-07-2023,118
28-07-2023,102
29-07-2023,74
30-07-2023,114
31-07-2023,84
01-08-2023,121
02-08-2023,85
03-08-2023,146
04-08-2023,86
05-08-2023,97
06-08-2023,124
07-08-2023,72
08-08-2023,107
09-08-2023,133
10-08-2023,59
11-08-2023,103
12-08-2023,104
13-08-2023,116
14-08-2023,64
15-08-2023,61
16-08-2023,106
17-08-2023,100
18-08-2023,97
19-08-2023,99
20-08-2023,72
21-08-2023,94
22-08-2023,95
23-08-2023,69
24-08-2023,132
